"organization","key","name","qualifier","visibility","lastAnalysisDate","revision"
"gboticario","arq-plataforma-integracoes-migration-boilerplate-worker","arq-plataforma-integracoes-migration-boilerplate-worker","TRK","private","2024-06-04T19:00:10+0200","700a683f53eb6b310e94895f9f198f350c8d8296"
"gboticario","arq-plataforma-integracoes-pdv-sales-serialize-stream","arq-plataforma-integracoes-pdv-sales-serialize-stream","TRK","private","2023-08-30T17:09:43+0200","2500a35107d6da45476732fee398c71665649db7"
"gboticario","arq-plataforma-integracoes-plataforma-integracao-scripts","arq-plataforma-integracoes-plataforma-integracao-scripts","TRK","private",,
"gboticario","arq-pocs-database-dynamo","arq-pocs-database-dynamo","TRK","private",,
"gboticario","arq-pocs-database-dynamodb","arq-pocs-database-dynamodb","TRK","private",,
"gboticario","arq-pocs-github-graph-visualization","arq-pocs-github-graph-visualization","TRK","private",,
"gboticario","arq-servicos-financeiros-finlegal-servicos-financeiros-carta-de-credito-lambda","arq-servicos-financeiros-finlegal-servicos-financeiros-carta-de-credito-lambda","TRK","private","2022-11-10T15:45:04+0100","08e44186d543387fb47dcc6c7e7ec359f3df80a6"
"gboticario","arq-sre-apis-sre-agent-metrics-alerts","arq-sre-apis-sre-agent-metrics-alerts","TRK","private","2023-01-03T13:02:23+0100","1b7142d51fd897139b5eac540bee702ce288334f"
"gboticario","arq-template-arquitetura-validacao-arq-skylet","arq-template-arquitetura-validacao-arq-skylet","TRK","private",,
"gboticario","prodfin-motor-de-decisoes-atena","atena","TRK","private","2023-06-13T18:56:45+0200","1db156404688bdf17db4ca5ea62c5b7ed06507a3"
"gboticario","vd-customer-auth-api","auth-api","TRK","private","2024-06-20T20:37:24+0200","f9c786368d5b430b6fd118a26ded01cc35c4d13d"
"gboticario","dea-new-devolution-portal-authorize-serverless","authorize-serverless","TRK","private","2023-12-26T12:01:57+0100","9b6fb0d3bb5dff5f8126e51aa1c0ab8776864c27"
"gboticario","08d997cf-1831-40fd-ad8b-4ec7e4a5e48f","auto-rh","TRK","private","2022-03-31T21:29:44+0200","4fa40d1607c347859e8948142b9df29bc0ea2670"
"gboticario","finlegal-finance-platform-b2b-boletos-backend","b2b-boletos-backend","TRK","private","2023-08-08T18:33:31+0200","75affc7f5d1ef281f492c44534b6b3f4fd0daf24"
"gboticario","naoprop-edi-gb-b2b-capture-data","b2b-capture-data","TRK","private","2024-03-15T16:27:36+0100","568fdccf2215d36e75b67f15c34a25f52368341a"
"gboticario","naoprop-edi-gb-b2b-capture-data-api","b2b-capture-data-api","TRK","private","2022-09-19T23:16:16+0200","c989a3cc8c26379e8babfd703aaad6d42c2429c7"
"gboticario","b2b-cnp-edi-portal","b2b-cnp-edi-portal","TRK","private",,
"gboticario","b2b-cnp-edi-portal-front","b2b-cnp-edi-portal-front","TRK","private",,
"gboticario","b2b-facilita-azure-connect","b2b-facilita-azure-connect","TRK","private","2023-12-22T15:39:18+0100","760fafd266a6015320b266b38322a249d58e7856"
"gboticario","b2b-facilita-backend","b2b-facilita-backend","TRK","private","2023-12-21T14:31:12+0100","bdb6201ff17c060d802ff8c38ef8af18369d2566"
"gboticario","b2b-produtos-backend","b2b-produtos-backend","TRK","private","2024-06-17T20:13:54+0200","98062e05dbc391dce1a049a4601dd6ebad97bb0c"
"gboticario","b2b-tracking-pedidos-backend","b2b-tracking-pedidos-backend","TRK","private",,
"gboticario","pedind-lori-backend-api","backend-api","TRK","private","2024-04-29T15:53:44+0200","9dc874d0023f022405b7415570fbafe30e4fc3fc"
