repoName,collaboratorName
terraform-aws-elb,manumbs
terraform-aws-elb,haooliveira84
terraform-aws-elb,drobcosta
terraform-aws-elb,anapaulamdb
terraform-aws-elb,CarolineBraga
terraform-aws-elb,Liibke
terraform-aws-elb,gmaintz
terraform-aws-elb,julianoslackbr
terraform-aws-elb,s-azdevops
terraform-aws-elb,rafaelqr
terraform-aws-elb,danilobovo
terraform-aws-elb,jose-neukirchen
terraform-aws-elb,fpampuche
terraform-aws-elb,lcampiol
terraform-aws-elb,renervaldo
terraform-aws-elb,rtissots
terraform-aws-elb,ryanjorgeac
terraform-aws-elb,MattheusDuarte
terraform-aws-elb,camialmeidas
terraform-aws-elb,ricardoencarnacao
terraform-aws-elb,MarcioTopan
terraform-aws-elb,davirezendegb
aws_lambda_monitor,ricardolavor
aws_lambda_monitor,renatogp
aws_lambda_monitor,brunopenso
aws_lambda_monitor,chicoribas
aws_lambda_monitor,maiconzotto
aws_lambda_monitor,manumbs
aws_lambda_monitor,s-azdevops
apprevendedorabot_server_api,ricardolavor
apprevendedorabot_server_api,renatogp
apprevendedorabot_server_api,brunopenso
apprevendedorabot_server_api,chicoribas
apprevendedorabot_server_api,maiconzotto
apprevendedorabot_server_api,adrielerodr
apprevendedorabot_server_api,manumbs
apprevendedorabot_server_api,s-azdevops
apprevendedorabot_site_admin,ricardolavor
apprevendedorabot_site_admin,renatogp
apprevendedorabot_site_admin,brunopenso
apprevendedorabot_site_admin,chicoribas
apprevendedorabot_site_admin,maiconzotto
apprevendedorabot_site_admin,manumbs
apprevendedorabot_site_admin,s-azdevops
portalrevendedorabot_site,ricardolavor
portalrevendedorabot_site,renatogp
portalrevendedorabot_site,brunopenso
portalrevendedorabot_site,chicoribas
portalrevendedorabot_site,matheusportoo
portalrevendedorabot_site,humbbetao
portalrevendedorabot_site,GustavoSchuler
portalrevendedorabot_site,thmarra
portalrevendedorabot_site,maiconzotto
portalrevendedorabot_site,manumbs
portalrevendedorabot_site,keoma-debien
portalrevendedorabot_site,s-azdevops
portalrevendedorabot_server_api,ricardolavor
portalrevendedorabot_server_api,renatogp
portalrevendedorabot_server_api,brunopenso
portalrevendedorabot_server_api,chicoribas
portalrevendedorabot_server_api,maiconzotto
portalrevendedorabot_server_api,manumbs
portalrevendedorabot_server_api,s-azdevops
portalrevendedorabot_site_admin,ricardolavor
portalrevendedorabot_site_admin,renatogp
portalrevendedorabot_site_admin,brunopenso
portalrevendedorabot_site_admin,chicoribas
portalrevendedorabot_site_admin,maiconzotto
portalrevendedorabot_site_admin,manumbs
